;words_p_sen;letters_p_word;%adjective;%conjunction;%determiner;%noun;%pronoun;%adverb;%preposition;%verb;adjective_p_sen;conjunction_p_sen;determiner_p_sen;noun_p_sen;pronoun_p_sen;adverb_p_sen;preposition_p_sen;verb_p_sen;main_verbs/total_verbs;words_diversity;main_verbs_per_sen
words_p_sen;1,0;0,534741175598;0,344766855946;0,217795241852;0,405478121158;0,371609433809;0,0721448464015;-0,257603929899;0,398122401273;-0,233305283231;0,863710772018;0,822259904986;0,947811436419;0,930705592813;0,719372728056;0,621748969322;0,953082426417;0,763427745769;-0,31089217407;0,936249128603;0,708562200459
letters_p_word;0,534741175598;1,0;0,59986068506;0,0663218304322;0,387099623032;0,611781506831;-0,21069528604;-0,53128464228;0,456787669878;-0,368116405006;0,67017725805;0,387467737729;0,561467262911;0,601876164417;0,208417761024;0,06991778003;0,57488294961;0,301953328035;-0,176023167624;0,592359839773;0,26861460445
%adjective;0,344766855946;0,59986068506;1,0;0,148704884166;0,198964225412;0,437888413557;-0,188685611834;-0,334350966677;0,190666406645;-0,241587429092;0,707777352028;0,276221442127;0,378024489769;0,414947876349;0,0847293734959;0,0446375281987;0,352673993567;0,174950018818;-0,316711449209;0,359953348583;0,117845227706
%conjunction;0,217795241852;0,0663218304322;0,148704884166;1,0;0,075269344794;-0,151918502168;0,355940307958;0,281908468754;-0,338071163445;0,323182555764;0,201506835605;0,640585783273;0,177543285133;0,150638823075;0,364220901352;0,403324287448;0,067892310417;0,332471833627;-0,122613486403;0,220273269029;0,349785530927
%determiner;0,405478121158;0,387099623032;0,198964225412;0,075269344794;1,0;0,26460163727;-0,0365169168328;-0,148670250665;0,21384716748;-0,11824689165;0,411504784388;0,253736997559;0,635088780331;0,409757928807;0,224794810166;0,207619898284;0,398219759096;0,321367161699;-0,337147157172;0,375929018721;0,265838017793
%noun;0,371609433809;0,611781506831;0,437888413557;-0,151918502168;0,26460163727;1,0;-0,586166264116;-0,6632131167;0,488449481303;-0,520299251447;0,49626780924;0,21089713273;0,411806363136;0,60903709802;-0,127175157306;-0,176609349855;0,474703145172;0,0279040903178;-0,0592446081115;0,449804302712;0,00103995263981
%pronoun;0,0721448464015;-0,21069528604;-0,188685611834;0,355940307958;-0,0365169168328;-0,586166264116;1,0;0,476393928105;-0,462546482332;0,534476481117;-0,0777584690248;0,19588188858;0,0318312802103;-0,123011675496;0,672505362602;0,448764019932;-0,0947284032176;0,392123262345;-0,197139133646;-0,0231512847789;0,396114437739
%adverb;-0,257603929899;-0,53128464228;-0,334350966677;0,281908468754;-0,148670250665;-0,6632131167;0,476393928105;1,0;-0,663222992599;0,527781974426;-0,331614097356;-0,0371670227274;-0,259519961101;-0,370493416832;0,134539194216;0,497412615726;-0,39916459756;0,0561577802129;-0,0839247164571;-0,308809953896;0,0690776907523
%preposition;0,398122401273;0,456787669878;0,190666406645;-0,338071163445;0,21384716748;0,488449481303;-0,462546482332;-0,663222992599;1,0;-0,608369814303;0,349331234864;0,0942282673746;0,360945479425;0,420301273534;-0,0271312752395;-0,166082094451;0,603832271788;0,029569873019;0,170619021652;0,426335474967;0,0342476572696
%verb;-0,233305283231;-0,368116405006;-0,241587429092;0,323182555764;-0,11824689165;-0,520299251447;0,534476481117;0,527781974426;-0,608369814303;1,0;-0,293733245051;-0,0579525109273;-0,220891060753;-0,326937051424;0,180327308241;0,21069562695;-0,350661667691;0,344663208624;-0,117412330385;-0,258838243427;0,376902836875
