App;28/09/2016;29/09/2016;30/09/2016;03/10/2016;04/10/2016;Last update
#lactapp;0;0;0;167;230;1475576646
#EsAccesibleApp;80;142;147;155;169;1475576650
#EasyReading;36;57;59;78;90;1475576651
#TUR4all;0;45;66;79;82;1475576653
#JoseAprende;14;21;21;39;58;1475576659
#TransmetroHabla;19;43;45;50;50;1475576654
#Blappy;23;38;40;44;44;1475576656
#SuperVisionCardboard;21;38;38;41;41;1475574708
#ibabydoctor;0;11;21;36;39;1475575674
#appComunicant;17;23;23;32;32;1475574708
#Turismoaccesible;0;12;19;29;30;1475576657
#Outbarriers;17;27;28;28;28;1475574707
#SpecialStories;5;13;14;22;21;1475576661
#familyar;8;18;19;20;21;1475575676
#ready4life;3;11;11;13;13;1475575680
#kopyk;7;12;12;13;13;1475576655
#DisCar;4;4;7;13;13;1475575681
#SpecialWords;1;6;6;13;13;1475574710
#doctoralia;4;6;6;6;9;1475575679
#NoTeQuemes;9;9;9;9;9;1475574706
#miraiparla;4;8;8;9;9;1475575683
#VivirAsturias;0;0;0;7;7;1475576658
#cycleofideas;5;6;6;6;6;1475575684
#Dem_Dx;5;4;4;4;4;1475574709
#PredictableApp;2;2;2;3;3;1475576656
#aipoly_;0;1;1;1;1;1475575681
#wheris;0;0;0;1;1;1475576660
#whatscine;0;0;0;0;0;1475574711
#Solidarity;0;0;0;0;0;1475574711
#pictogramas;0;0;0;0;0;1475575673
#mapp4all;0;0;0;0;0;1475575672
#utourist;0;0;0;0;0;1475576653
#YoTeCuido;0;0;0;0;0;1475575678
#curler;0;0;0;0;0;1475575675
#mokmokcars;0;0;0;0;0;1475575677
#infolazzus;0;0;0;0;0;1475575678
#freetouring;0;0;0;0;0;1475575682
#PatrimonioAccesible;0;0;0;0;0;1475576661
