App;18/10/2016;19/10/2016;20/10/2016;21/10/2016;24/10/2016;Last update
#runator;105;118;121;120;124;1477301926
#menunico;13;43;56;64;119;1477301930
#lactapp;0;111;118;118;119;1477300951
#EsAccesibleApp;81;107;107;109;118;1477301928
#mapp4all;86;96;101;103;103;1477299989
#timtul;22;100;105;105;54;1477299982
#arrelslocator;0;10;41;45;45;1477299979
#EasyReading;1;13;41;43;44;1477299980
#minutscat;26;30;30;30;30;1477300953
#doctoralia;7;10;26;27;28;1477300950
#heygo;19;21;20;20;21;1477301929
#startit;18;20;20;20;20;1477301923
#imedicplus;0;0;0;11;16;1477301924
#familyar;5;11;12;14;14;1477301922
#divertium;0;12;12;14;14;1477299981
#disabledpark;11;13;13;13;13;1477301925
#EBOplatform;9;11;11;11;11;1477301920
#precioluz;7;7;8;8;8;1477301921
#UCtourist;6;6;6;6;6;1477299984
#colorstheapp;1;5;6;6;6;1477299986
#learniaclub;0;0;3;3;5;1477300955
#whatscine;0;0;4;5;5;1477300958
#ready4life;0;2;4;4;4;1477300959
#dayskapp;2;2;2;2;4;1477301931
#Evoluginos;0;2;4;4;4;1477299980
#wheris;0;2;4;4;4;1477299985
#guidd;2;3;3;3;3;1477300953
#miraiparla;2;3;3;3;3;1477301920
#DisCar;2;2;2;2;2;1477299982
#kopyk;2;2;2;2;2;1477301924
#beelinguapp;0;0;0;0;1;1477300956
#Qrioscity;0;0;0;0;1;1477301927
#psonrie;0;0;0;0;0;1477301922
#YoTeCuido;0;0;0;0;0;1477299018
#Wispping;0;0;0;0;0;1477299983
#BusUp;0;0;0;0;0;1477299984
#urbanupp;0;0;0;0;0;1477300954
#mokmokcars;0;0;0;0;0;1477299985
#callforwarded;0;0;0;0;0;1477300955
#SmartAppCity;0;0;0;0;0;1477299987
#EnergyGrader;0;0;0;0;0;1477300950
#cycleofideas;0;0;0;0;0;1477300952
#PresumeDeWazy;0;0;0;0;0;1477300958
#Blappy;0;0;0;0;0;1477300957
#recycl3R;0;0;0;0;0;1477300956
#keychn;0;0;0;0;0;1477299017
#BCNSmartCityWP;0;0;0;0;0;1477299987
